City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,keflavik,64.0049,-22.5624,10.24,100,100,10.8,IS,1730646672
83,college,64.8569,-147.8028,-6.03,81,100,3.6,US,1730646673
84,warrnambool,-38.3833,142.4833,13.83,58,100,6.54,AU,1730646674
85,ilulissat,69.2167,-51.1,-4.99,68,20,3.6,GL,1730646675
86,kodiak,57.79,-152.4072,3.73,65,0,5.14,US,1730646676
87,at taraf,25.3628,49.725,31.3,56,0,4.58,SA,1730646678
88,tiksi,71.6872,128.8694,-23.13,100,100,1.84,RU,1730646679
89,zaozersk,69.4005,32.4476,-0.71,85,100,9.85,RU,1730646680
90,fort mcmurray,56.7268,-111.381,-2.19,98,100,1.42,CA,1730646489
91,invercargill,-46.4,168.35,10.57,69,100,3.58,NZ,1730646682
92,ta`u,-14.2336,-169.5144,27.14,80,83,6.5,AS,1730646683
93,st. john's,47.5649,-52.7093,5.71,63,49,2.68,CA,1730646684
94,sabha,27.0377,14.4283,26.22,27,0,4.53,LY,1730646686
95,jarocin,51.9727,17.5026,6.49,52,79,3.87,PL,1730646688
96,kiunga,-6.1219,141.2906,23.15,98,99,0.69,PG,1730646689
97,manggar,-2.8833,108.2667,26.82,79,100,1.19,ID,1730646691
98,cabedelo,-6.9811,-34.8339,31.37,61,58,7.72,BR,1730646692
99,enoch,37.7733,-113.0244,1.14,85,100,6.17,US,1730646694
100,arica,-18.475,-70.3042,21.13,60,0,5.14,CL,1730646695
101,albany,42.6001,-73.9662,5.87,61,6,0.89,US,1730646630
102,pangody,65.85,74.4859,-0.03,97,100,11.75,RU,1730646697
103,igarka,67.4667,86.5833,-8.06,81,98,8.44,RU,1730646698
104,lata,40.1629,-8.3327,23.6,51,98,4.42,PT,1730646699
105,vorgashor,67.5833,63.95,-1.46,84,100,6.79,RU,1730646700
106,jamestown,42.097,-79.2353,7.23,64,0,3.09,US,1730646702
107,rio grande,-32.035,-52.0986,23.43,84,100,3.93,BR,1730646703
108,aasiaat,68.7098,-52.8699,-8.29,88,51,2.87,GL,1730646704
109,akureyri,65.6835,-18.0878,6.65,93,100,6.5,IS,1730646575
110,utrik,11.2278,169.8474,27.59,81,100,7.47,MH,1730646706
111,port elizabeth,-33.918,25.5701,21.29,82,50,2.24,ZA,1730646667
112,l'isle-jourdain,43.6144,1.0817,20.21,63,47,4.64,FR,1730646708
113,yellowknife,62.456,-114.3525,-3.1,100,100,3.58,CA,1730646710
114,ancud,-41.8697,-73.8203,10.15,86,100,7.03,CL,1730646711
115,cafayate,-26.073,-65.9761,22.33,64,66,5.55,AR,1730646712
116,ribeira brava,32.65,-17.0667,24.45,77,13,3.97,PT,1730646713
117,callao,-12.0667,-77.15,24.29,77,100,3.09,PE,1730646714
118,walvis bay,-22.9575,14.5053,19.11,62,29,10.28,NA,1730646715
119,geraldton,-28.7667,114.6,18.23,77,100,7.2,AU,1730646607
120,tura,25.5198,90.2201,20.74,93,0,1.31,IN,1730646718
121,alotau,-10.3069,150.4462,23.91,97,99,1.56,PG,1730646719
122,codrington,-38.2667,141.9667,13.65,54,100,6.5,AU,1730646720
123,komotini,41.1228,25.3964,14.47,52,73,1.34,GR,1730646721
124,bargaal,11.2864,51.0773,27.38,74,38,5.26,SO,1730646722
125,udachny,66.4167,112.4,-28.84,100,49,0.93,RU,1730646723
126,at taj,24.2049,23.2857,23.06,26,0,5.1,LY,1730646724
127,nemuro,43.3236,145.575,7.7,72,80,2.93,JP,1730646726
128,kapuskasing,49.4169,-82.4331,3.23,93,100,2.42,CA,1730646727
